date,net_return,net_sharpe
2005,0.0,
2006,0.03937901549205105,0.4654252635739691
2007,0.07872554176033378,1.0371575426761568
2008,0.2975745536399294,3.5614948088400618
2009,0.05811149776389284,0.7771357349595933
2010,0.04286451040279116,1.3670754380216639
2011,0.09098541242752085,2.246736453192896
2012,-0.010385760526537108,-0.46153922262694086
2013,0.0008517951621850888,0.03236994366140494
2014,-0.017040099390733726,-0.6732755010403912
2015,-0.041051962184326385,-1.3811364984019885
2016,-0.0013256341397283441,-0.04431571135896574
2017,-0.026297880166744423,-1.3638409896955062
2018,-0.025843744539843144,-1.3953020238491494
2019,-0.020593516405100275,-2.272039417253297
2020,0.029947432327978394,1.9558166224762328
2021,0.0175859621162059,1.5380717757542124
2022,-0.004384785360307239,-0.4178487974535139
