date,net_return,net_sharpe
2005,-7.175843750107708e-06,-1.0019900517195868
2006,0.07066886097394111,2.523002771050333
2007,0.08954678758830255,1.881246539367534
2008,0.16394762479962696,3.1537887615156053
2009,0.031317228305372674,0.9684903563374866
2010,0.04757794815867894,2.202007594942406
2011,0.025200580685820838,1.4603473711207655
2012,-0.00237806489401908,-0.21324455749601093
2013,0.018857818929374725,1.965081420613453
2014,0.011774084060784574,1.032390298487208
2015,-0.009371209538183406,-0.9420821230036662
2016,-0.002636739673266199,-0.1726451065929083
2017,0.01824462082750658,1.4137109555280978
2018,-0.020716625080718736,-1.3989644812790996
2019,-0.006652477357672324,-0.6030903384322982
2020,0.047043632544809,2.498003886860738
2021,0.034005240239989534,2.5594325034375784
2022,0.01663960800880218,1.469064418860169
