date,net_return,net_sharpe
2005,-8.875277042246005e-06,-1.0019900517195865
2006,0.0672272929884265,2.4002717617936224
2007,0.08642306009604124,1.8159431367664274
2008,0.16109213891596877,3.099717585440205
2009,0.028966026485742605,0.8961941207758828
2010,0.045293841397804256,2.0982587098901515
2011,0.02381440318018456,1.3804318002818976
2012,-0.003607101444218047,-0.32346993374939526
2013,0.017960228208194685,1.8720474713727968
2014,0.01087204215060318,0.9533696248214476
2015,-0.009930190479047403,-0.9981919757426684
2016,-0.0034310120982411134,-0.2246797958651573
2017,0.01728787734338431,1.3397300421905556
2018,-0.02125800654546954,-1.4355580254485072
2019,-0.00709286655740875,-0.6429557190485518
2020,0.04674185709070478,2.4822888176360554
2021,0.033773283885181464,2.5420029393608896
2022,0.016536677310383392,1.4599944751061442
