date,net_return,net_sharpe
2005,0.0,
2006,-0.030989959506739884,-1.0206021057235768
2007,0.07123001777798103,1.4430070499250245
2008,0.21880330094243264,3.1438123759711285
2009,0.02746100631470991,0.7613485028692065
2010,0.06693382685752117,2.2751271008968565
2011,0.05538325973982731,2.004319948029064
2012,0.007306914226463768,0.35460147982958373
2013,0.026849113682075976,1.2895551721769842
2014,0.016436204979676242,0.6944772811468747
2015,0.008497927494857723,0.4561648724320185
2016,0.02022079019376069,0.7508074774017979
2017,-0.007606324765568739,-0.3020282456535406
2018,-0.03265850649047959,-1.291995217935548
2019,0.01322024060727927,0.6322169907003631
2020,0.03891156975017207,1.2721849357938624
2021,0.025918377461340427,1.3514451308804858
2022,0.005329284169898146,0.33127073941442003
