date,net_return,net_sharpe
2005,0.0,
2006,0.002821949147110596,0.9957722418864408
2007,0.006016383754117113,1.8253728253534904
2008,-0.002639863623356456,-0.617223859971647
2009,0.012463190622507591,2.0211051822205834
2010,-0.0023454380893631376,-0.8524906693207114
2011,-0.004039267779671754,-1.200733971543441
2012,-0.001049641769905023,-0.3054119047194672
2013,0.005922015240363195,0.8793247733802773
2014,0.002003669806505437,0.5780633670066021
2015,-0.002241844390057729,-0.41420071281096493
2016,-0.004008972044871983,-1.6355343548158114
2017,0.00399547807681864,0.8473121922604772
2018,-0.0018743745280265247,-0.37479546887971166
2019,0.0027086745166284096,0.5289907758918195
2020,-0.025855238716188913,-3.0830975764874964
2021,0.0034493952884702764,0.45517901179296255
2022,-0.011859471129340665,-1.5370377314408166
