date,net_return,net_sharpe
2005,0.0,
2006,-0.03003193284980848,-0.9891608732929469
2007,0.07238147450230291,1.4661292383504827
2008,0.22024233759506723,3.163099461117288
2009,0.028451750404938355,0.7886215095691249
2010,0.06839627475226358,2.323926539680321
2011,0.056696794581051396,2.051144242136509
2012,0.008523313527072356,0.4135868807060414
2013,0.027920671093449152,1.340997958389782
2014,0.017362381683129882,0.7334245315650388
2015,0.009167470076930133,0.4920345310242818
2016,0.021006953711048847,0.7799365274636756
2017,-0.006670812439476979,-0.26489658055034265
2018,-0.03197716468548704,-1.2651205053519485
2019,0.013616864010576327,0.6510435183533799
2020,0.039298955208038173,1.2846860585827853
2021,0.026133911600215942,1.3625712453490093
2022,0.005454918473931189,0.33909702872078656
