date,net_return,net_sharpe
2005,-9.162086809757284e-06,-1.0019900517195865
2006,0.08780727390788276,1.9253588457712374
2007,0.1213425163326561,1.5995552316534323
2008,0.32299837024652467,3.377334552652774
2009,0.017222780446268435,0.2488124984145229
2010,0.035230522595370385,0.6694898438775435
2011,0.08699443964775831,1.9864060089561988
2012,0.004174719507492984,0.15589275538232375
2013,0.0044083305751843474,0.1578899030602065
2014,0.015575809656815511,0.5173213694630358
2015,-0.05628570991165277,-1.6902914353355114
2016,-0.0010078773492409546,-0.033054303900063295
2017,-0.007535282437872315,-0.3494043261111337
2018,-0.026515533055114424,-0.856327939476916
2019,-0.011400686622521222,-0.9274071853055469
2020,0.04650338300319494,2.1852773662313476
2021,0.0465653343699483,1.894302089760226
2022,-0.013934712006273865,-0.6419729410489763
