date,net_return,net_sharpe
2005,0.0,
2006,-0.021766830897602663,-1.2202163323738213
2007,0.04420005267286799,2.177290804517692
2008,-0.011439671954394551,-0.3536848601693487
2009,0.046836057497198075,1.2388877204311015
2010,-0.006852211951384727,-0.3483792696823972
2011,-0.029147684231028106,-1.2506103899465213
2012,0.023194156764667035,0.9583174101978235
2013,0.005596311115076371,0.31649531719860896
2014,-0.007360190884745577,-0.48576226886709245
2015,0.01196254979836961,0.3569488081108009
2016,0.00672512406186631,0.258249007830063
2017,0.0036739086614855543,0.1436716249847846
2018,-0.03170474453546188,-1.3681971842274225
2019,0.028518300964289926,1.2988852755758264
2020,-0.034575562489263134,-0.8928427842172482
2021,0.03525603406451584,1.134586773157914
2022,-0.026003329824316877,-1.0795207064336159
