date,net_return,net_sharpe
2005,0.0,
2006,-0.0052024305388693485,-0.8825783769902198
2007,-0.0005896005323468489,-0.06313811288960208
2008,-0.02645940182178583,-2.259500727645729
2009,0.02271585785234052,1.6402906774576334
2010,-0.0004928971066929203,-0.05251987176067969
2011,0.0026054806493812878,0.3926284156034053
2012,0.017361824169031342,1.549202786292778
2013,-0.0008950129767181319,-0.10478363229709718
2014,-0.0031493760438185466,-0.40035767749404133
2015,0.0068165344784956155,0.33318473674786186
2016,-0.010632715591273363,-1.0291527683147617
2017,0.020301313745758706,1.376654697837707
2018,0.0056718791029026685,0.538740468976009
2019,0.011264582034647006,0.9512435868042045
2020,-0.03508235102052775,-2.353348580185279
2021,0.011702119766870802,0.6412060787173445
2022,-0.004427217966536683,-0.2797995552288696
